Date,Close,Volume,Market Cap,Oil,Gold,ETH,Ripple,Bitcoin Cash,Litecoin,NEO,Cardano,Stellar,EOS,DASH,NEM,ETH Classic,Lisk
"Aug 07, 2015",279.59,42484800,4032820000.0,47.12,1080.05,2.77,0.008152,0.008152,4.21,4.21,4.21,0.002432,0.002432,3.26,0.000145,0.000145,1.0
"Aug 08, 2015",261.0,58533000,4048270000.0,47.12,1080.05,0.753325,0.008476000000000001,0.008476000000000001,3.85,3.85,3.85,0.002419,0.002419,3.08,0.000136,0.000136,1.0
"Aug 09, 2015",265.08,23789600,3779770000.0,47.12,1080.05,0.701897,0.008808,0.008808,3.9,3.9,3.9,0.002345,0.002345,3.11,0.00013000000000000002,0.00013000000000000002,1.0
"Aug 10, 2015",264.47,20979400,3843850000.0,44.96,1094.8,0.708448,0.00875,0.00875,3.95,3.95,3.95,0.002466,0.002466,3.08,0.000135,0.000135,1.0
"Aug 11, 2015",270.39,25433900,3828500000.0,43.08,1113.25,1.07,0.008591,0.008591,4.16,4.16,4.16,0.002398,0.002398,3.16,0.000135,0.000135,1.0
"Aug 12, 2015",266.38,26815400,3920210000.0,43.3,1116.8,1.22,0.008270999999999999,0.008270999999999999,3.99,3.99,3.99,0.00238,0.00238,3.06,0.000133,0.000133,1.0
"Aug 13, 2015",264.08,27685500,3857090000.0,42.23,1117.35,1.83,0.008147,0.008147,3.88,3.88,3.88,0.002264,0.002264,3.06,0.000123,0.000123,1.0
"Aug 14, 2015",265.68,27091200,3828340000.0,42.5,1116.75,1.83,0.008337,0.008337,4.03,4.03,4.03,0.002314,0.002314,3.03,0.000121,0.000121,1.0
"Aug 15, 2015",261.55,19321100,3849530000.0,42.5,1116.75,1.69,0.00842,0.00842,3.93,3.93,3.93,0.00227,0.00227,2.98,0.00011899999999999999,0.00011899999999999999,1.0
"Aug 16, 2015",258.51,29717000,3797330000.0,42.5,1116.75,1.57,0.008315000000000001,0.008315000000000001,3.95,3.95,3.95,0.002135,0.002135,2.94,0.000123,0.000123,1.0
"Aug 17, 2015",257.98,21617900,3749260000.0,41.87,1117.3,1.2,0.008301000000000001,0.008301000000000001,3.98,3.98,3.98,0.00217,0.00217,2.91,0.00011899999999999999,0.00011899999999999999,1.0
"Aug 18, 2015",211.08,42147200,3742020000.0,42.62,1119.15,1.09,0.007552,0.007552,3.47,3.47,3.47,0.0018780000000000001,0.0018780000000000001,2.67,9.2e-05,9.2e-05,1.0
"Aug 19, 2015",226.68,60869200,3274860000.0,40.8,1123.2,1.26,0.007758,0.007758,3.48,3.48,3.48,0.0018100000000000002,0.0018100000000000002,2.64,0.0001,0.0001,1.0
