Date,Close,Volume,Market Cap,Oil,Gold,ETH,Ripple,Bitcoin Cash,Litecoin,NEO,Cardano,Stellar,EOS,DASH,NEM,ETH Classic,Lisk
"Aug 07, 2015",279.59,42484800,4032820000,47.12,1080.05,2.77,0.008152,0.008152,4.21,4.21,4.21,0.002432,0.002432,3.26,0.000145,0.000145,1
"Aug 08, 2015",261,58533000,4048270000,47.12,1080.05,0.753325,0.008476,0.008476,3.85,3.85,3.85,0.002419,0.002419,3.08,0.000136,0.000136,1
"Aug 09, 2015",265.08,23789600,3779770000,47.12,1080.05,0.701897,0.008808,0.008808,3.9,3.9,3.9,0.002345,0.002345,3.11,0.00013,0.00013,1
"Aug 10, 2015",264.47,20979400,3843850000,44.96,1094.8,0.708448,0.00875,0.00875,3.95,3.95,3.95,0.002466,0.002466,3.08,0.000135,0.000135,1
"Aug 11, 2015",270.39,25433900,3828500000,43.08,1113.25,1.07,0.008591,0.008591,4.16,4.16,4.16,0.002398,0.002398,3.16,0.000135,0.000135,1
"Aug 12, 2015",266.38,26815400,3920210000,43.3,1116.8,1.22,0.008271,0.008271,3.99,3.99,3.99,0.00238,0.00238,3.06,0.000133,0.000133,1
"Aug 13, 2015",264.08,27685500,3857090000,42.23,1117.35,1.83,0.008147,0.008147,3.88,3.88,3.88,0.002264,0.002264,3.06,0.000123,0.000123,1
"Aug 14, 2015",265.68,27091200,3828340000,42.5,1116.75,1.83,0.008337,0.008337,4.03,4.03,4.03,0.002314,0.002314,3.03,0.000121,0.000121,1
"Aug 15, 2015",261.55,19321100,3849530000,42.5,1116.75,1.69,0.00842,0.00842,3.93,3.93,3.93,0.00227,0.00227,2.98,0.000119,0.000119,1
"Aug 16, 2015",258.51,29717000,3797330000,42.5,1116.75,1.57,0.008315,0.008315,3.95,3.95,3.95,0.002135,0.002135,2.94,0.000123,0.000123,1
"Aug 17, 2015",257.98,21617900,3749260000,41.87,1117.3,1.2,0.008301,0.008301,3.98,3.98,3.98,0.00217,0.00217,2.91,0.000119,0.000119,1
"Aug 18, 2015",211.08,42147200,3742020000,42.62,1119.15,1.09,0.007552,0.007552,3.47,3.47,3.47,0.001878,0.001878,2.67,0.000092,0.000092,1
"Aug 19, 2015",226.68,60869200,3274860000,40.8,1123.2,1.26,0.007758,0.007758,3.48,3.48,3.48,0.00181,0.00181,2.64,0.0001,0.0001,1
"Aug 20, 2015",235.35,32275000,3293570000,41.14,1137.95,1.46,0.007872,0.007872,3.61,3.61,3.61,0.00203,0.00203,2.78,0.000106,0.000106,1
"Aug 21, 2015",232.57,23173800,3417200000,40.45,1149.35,1.4,0.007881,0.007881,3.57,3.57,3.57,0.001995,0.001995,2.76,0.000101,0.000101,1
"Aug 22, 2015",230.39,23205900,3379050000,40.45,1149.35,1.38,0.007722,0.007722,3.51,3.51,3.51,0.002001,0.002001,2.68,0.000101,0.000101,1
"Aug 23, 2015",228.17,18406600,3346760000,40.45,1149.35,1.35,0.007552,0.007552,3.39,3.39,3.39,0.001959,0.001959,2.64,0.000098,0.000098,1
"Aug 24, 2015",210.5,59220700,3314640000,38.24,1153.5,1.23,0.007397,0.007397,2.99,2.99,2.99,0.001892,0.001892,2.38,0.000093,0.000093,1
"Aug 25, 2015",221.61,61089200,3053250000,39.31,1154.25,1.14,0.007126,0.007126,2.94,2.94,2.94,0.001855,0.001855,2.53,0.000086,0.000086,1
"Aug 26, 2015",225.83,31808000,3228540000,38.6,1134.4,1.16,0.007492,0.007492,2.95,2.95,2.95,0.002035,0.002035,2.61,0.00009,0.00009,1
"Aug 27, 2015",224.77,21905400,3287220000,42.56,1128.5,1.15,0.007551,0.007551,2.87,2.87,2.87,0.002005,0.002005,2.56,0.000097,0.000097,1
"Aug 28, 2015",231.4,31336600,3268370000,45.22,1125.5,1.19,0.007433,0.007433,2.91,2.91,2.91,0.002354,0.002354,2.6,0.000093,0.000093,1
"Aug 29, 2015",229.78,17142500,3368880000,45.22,1125.5,1.18,0.007751,0.007751,2.88,2.88,2.88,0.002577,0.002577,2.6,0.000096,0.000096,1
"Aug 30, 2015",228.76,19412600,3345740000,45.22,1125.5,1.32,0.00805,0.00805,2.85,2.85,2.85,0.002363,0.002363,2.56,0.000104,0.000104,1
"Aug 31, 2015",230.06,20710700,3335220000,49.2,1125.5,1.36,0.007884,0.007884,2.84,2.84,2.84,0.002479,0.002479,2.58,0.000094,0.000094,1
"Sep 01, 2015",228.12,20575200,3352760000,49.2,1125.5,1.35,0.007815,0.007815,2.82,2.82,2.82,0.002435,0.002435,2.54,0.0001,0.0001,1
"Sep 02, 2015",229.28,18760400,3321180000,49.2,1125.5,1.29,0.0077,0.0077,2.8,2.8,2.8,0.002423,0.002423,2.51,0.000088,0.000088,1
"Sep 03, 2015",227.18,17482000,3340990000,49.2,1125.5,1.26,0.007431,0.007431,2.63,2.63,2.63,0.002377,0.002377,2.47,0.000089,0.000089,1
"Sep 04, 2015",230.3,20962400,3311080000,49.2,1125.5,1.27,0.007355,0.007355,2.7,2.7,2.7,0.002321,0.002321,2.45,0.000097,0.000097,1
"Sep 05, 2015",235.02,20671400,3355470000,49.2,1125.5,1.34,0.00786,0.00786,2.92,2.92,2.92,0.002476,0.002476,2.51,0.000086,0.000086,1
"Sep 06, 2015",239.84,25473700,3424420000,49.2,1125.5,1.3,0.007891,0.007891,3.05,3.05,3.05,0.002527,0.002527,2.49,0.000096,0.000096,1
"Sep 07, 2015",239.85,21192200,3499120000,49.2,1125.5,1.25,0.007918,0.007918,3.05,3.05,3.05,0.002452,0.002452,2.38,0.000096,0.000096,1
"Sep 08, 2015",243.61,26879200,3498750000,49.2,1125.5,1.24,0.007831,0.007831,3.05,3.05,3.05,0.0023,0.0023,2.33,0.000099,0.000099,1
"Sep 09, 2015",238.17,23635700,3551640000,49.2,1125.5,1.21,0.007678,0.007678,2.92,2.92,2.92,0.002195,0.002195,2.44,0.00009,0.00009,1
"Sep 10, 2015",238.48,21215500,3478410000,45.92,1107.75,1.17,0.007663,0.007663,2.95,2.95,2.95,0.002208,0.002208,2.38,0.000091,0.000091,1
"Sep 11, 2015",240.11,19224700,3479310000,44.63,1106.35,0.982978,0.008444,0.008444,2.96,2.96,2.96,0.002231,0.002231,2.38,0.000094,0.000094,1
"Sep 12, 2015",235.23,17962600,3502520000,44.63,1106.35,1.04,0.008197,0.008197,2.83,2.83,2.83,0.002239,0.002239,2.43,0.000087,0.000087,1
"Sep 13, 2015",230.51,18478800,3435990000,44.63,1106.35,0.936003,0.008532,0.008532,2.82,2.82,2.82,0.002158,0.002158,2.34,0.00009,0.00009,1
"Sep 14, 2015",230.64,20997800,3369190000,44,1108,0.875622,0.007404,0.007404,2.84,2.84,2.84,0.002139,0.002139,2.31,0.00009,0.00009,1
"Sep 15, 2015",230.3,19177800,3368360000,44.59,1105.5,0.94441,0.00772,0.00772,2.82,2.82,2.82,0.002183,0.002183,2.32,0.000099,0.000099,1
"Sep 16, 2015",229.09,20144200,3365740000,47.15,1109.75,0.907175,0.007426,0.007426,2.8,2.8,2.8,0.002159,0.002159,2.37,0.000106,0.000106,1
"Sep 17, 2015",229.81,18935400,3349390000,46.9,1118.15,0.874231,0.007372,0.007372,2.91,2.91,2.91,0.002228,0.002228,2.37,0.000108,0.000108,1
"Sep 18, 2015",232.98,20242200,3415440000,44.68,1136,0.853685,0.007529,0.007529,2.96,2.96,2.96,0.002243,0.002243,2.46,0.0001,0.0001,1
"Sep 19, 2015",231.49,12712600,3406390000,44.68,1136,0.882391,0.007482,0.007482,2.87,2.87,2.87,0.002295,0.002295,2.36,0.000102,0.000102,1
"Sep 20, 2015",231.21,14444700,3385770000,44.68,1136,0.938445,0.007637,0.007637,2.85,2.85,2.85,0.002223,0.002223,2.39,0.0001,0.0001,1
"Sep 21, 2015",227.09,19678800,3383840000,46.68,1136.85,0.919047,0.007247,0.007247,2.8,2.8,2.8,0.002142,0.002142,2.35,0.000102,0.000102,1
"Sep 22, 2015",230.62,25009300,3322420000,45.83,1129.3,0.901796,0.007168,0.007168,2.84,2.84,2.84,0.002138,0.002138,2.46,0.00013,0.00013,1
"Sep 23, 2015",230.28,17254100,3381390000,44.48,1124.6,0.893406,0.006668,0.006668,2.87,2.87,2.87,0.002082,0.002082,2.43,0.00012,0.00012,1
"Sep 24, 2015",234.53,25097800,3373850000,44.91,1134.45,0.81361,0.00671,0.00671,2.93,2.93,2.93,0.002058,0.002058,2.44,0.000116,0.000116,1
"Sep 25, 2015",235.14,22363600,3433300000,45.7,1145.5,0.736223,0.00665,0.00665,2.89,2.89,2.89,0.002056,0.002056,2.45,0.000134,0.000134,1
"Sep 26, 2015",234.34,13724100,3444730000,45.7,1145.5,0.785964,0.006501,0.006501,2.89,2.89,2.89,0.002071,0.002071,2.33,0.000131,0.000131,1
"Sep 27, 2015",232.76,14179900,3431860000,45.7,1145.5,0.720839,0.006536,0.006536,2.87,2.87,2.87,0.002067,0.002067,2.36,0.00013,0.00013,1
"Sep 28, 2015",239.14,24713000,3413630000,44.43,1137.5,0.582886,0.006294,0.006294,3.07,3.07,3.07,0.002091,0.002091,2.38,0.000139,0.000139,1
"Sep 29, 2015",236.69,22691300,3505090000,45.23,1124.6,0.661146,0.005579,0.005579,2.97,2.97,2.97,0.002055,0.002055,2.34,0.000149,0.000149,1
"Sep 30, 2015",236.06,19743500,3471280000,45.09,1122.5,0.738644,0.00552,0.00552,3.01,3.01,3.01,0.001985,0.001985,2.34,0.000151,0.000151,1
"Oct 01, 2015",237.55,20488800,3462800000,45.09,1122.5,0.690215,0.005448,0.005448,3,3,3,0.002224,0.002224,2.29,0.000175,0.000175,1
"Oct 02, 2015",237.29,19677900,3482190000,45.09,1122.5,0.678574,0.005868,0.005868,2.99,2.99,2.99,0.002076,0.002076,2.22,0.000149,0.000149,1
"Oct 03, 2015",238.73,16482700,3482100000,45.09,1122.5,0.687171,0.005517,0.005517,3.03,3.03,3.03,0.002013,0.002013,2.17,0.000127,0.000127,1
"Oct 04, 2015",238.26,12999000,3502460000,45.09,1122.5,0.668379,0.005236,0.005236,3.01,3.01,3.01,0.002051,0.002051,2.17,0.000122,0.000122,1
"Oct 05, 2015",240.38,23335900,3497740000,45.09,1122.5,0.628643,0.005008,0.005008,3.02,3.02,3.02,0.001989,0.001989,2.34,0.000119,0.000119,1
"Oct 06, 2015",246.06,27535100,3531230000,45.09,1122.5,0.650645,0.005328,0.005328,3.15,3.15,3.15,0.002077,0.002077,2.39,0.000123,0.000123,1
"Oct 07, 2015",242.97,22999200,3617400000,45.09,1122.5,0.609388,0.005375,0.005375,3.06,3.06,3.06,0.002075,0.002075,2.4,0.000136,0.000136,1
"Oct 08, 2015",242.3,18515300,3572730000,45.09,1122.5,0.621716,0.005031,0.005031,3.06,3.06,3.06,0.001996,0.001996,2.38,0.000118,0.000118,1
"Oct 09, 2015",243.93,17353100,3565090000,45.09,1122.5,0.650628,0.004983,0.004983,3.11,3.11,3.11,0.002121,0.002121,2.36,0.000117,0.000117,1
"Oct 10, 2015",244.94,15912700,3584120000,45.09,1122.5,0.627857,0.005037,0.005037,3.11,3.11,3.11,0.002084,0.002084,2.43,0.000112,0.000112,1
